type,bbox,interactivity,content,source,ID
text,"[0.1500781625509262, 0.011121409013867378, 0.3272537887096405, 0.03521779552102089]",False,Document 10.docx  General*  Last Modified: Just now ,box_ocr_content_ocr,0
text,"[0.034392911940813065, 0.04726598784327507, 0.05523710325360298, 0.07228915393352509]",False,Home,box_ocr_content_ocr,1
text,"[0.22094841301441193, 0.048192769289016724, 0.2542991042137146, 0.07321593910455704]",False,Mailings,box_ocr_content_ocr,2
text,"[0.2595101594924927, 0.05004633963108063, 0.2845231890678406, 0.07136237621307373]",False,Review,box_ocr_content_ocr,3
text,"[0.31474727392196655, 0.05004633963108063, 0.3335070312023163, 0.07136237621307373]",False,Help,box_ocr_content_ocr,4
text,"[0.06357477605342865, 0.05189990624785423, 0.08546117693185806, 0.07136237621307373]",False,Insert,box_ocr_content_ocr,5
text,"[0.08963001519441605, 0.05189990624785423, 0.11047420650720596, 0.07136237621307373]",False,Draw,box_ocr_content_ocr,6
text,"[0.11672746390104294, 0.05189990624785423, 0.14069828391075134, 0.07136237621307373]",False,Design,box_ocr_content_ocr,7
text,"[0.14799374341964722, 0.05189990624785423, 0.17300677299499512, 0.07136237621307373]",False,Layout,box_ocr_content_ocr,8
text,"[0.1792600303888321, 0.05189990624785423, 0.21677957475185394, 0.07136237621307373]",False,References,box_ocr_content_ocr,9
text,"[0.29077643156051636, 0.05189990624785423, 0.3095362186431885, 0.07136237621307373]",False,View,box_ocr_content_ocr,10
text,"[0.028660761192440987, 0.09638553857803345, 0.06253256648778915, 0.12789620459079742]",False,B Copy,box_ocr_content_ocr,11
text,"[0.5054715871810913, 0.0991658940911293, 0.5622720122337341, 0.12882298231124878]",False,No Spacing,box_ocr_content_ocr,12
text,"[0.7436164617538452, 0.1010194644331932, 0.7821782231330872, 0.12696941196918488]",False, Replace,box_ocr_content_ocr,13
text,"[0.8936946392059326, 0.11028730124235153, 0.9405940771102905, 0.13067655265331268]",False,Editor Copilot,box_ocr_content_ocr,14
text,"[0.03230849280953407, 0.14735867083072662, 0.06253256648778915, 0.16682113707065582]",False,Clipboard,box_ocr_content_ocr,15
text,"[0.1771756112575531, 0.14550510048866272, 0.19593538343906403, 0.16682113707065582]",False,Font,box_ocr_content_ocr,16
text,"[0.34184470772743225, 0.14365153014659882, 0.3751954138278961, 0.16867469251155853]",False, Paragraph,box_ocr_content_ocr,17
text,"[0.5747785568237305, 0.14550510048866272, 0.595622718334198, 0.16682113707065582]",False,Styles,box_ocr_content_ocr,18
text,"[0.3303804099559784, 0.3271547853946686, 0.5528921484947205, 0.35125115513801575]",False,Select the icon or press Alt + i to draft with Copilot,box_ocr_content_ocr,19
text,"[0.002084418898448348, 0.9360519051551819, 0.20427305996418, 0.9592214822769165]",False,Page 1 of1 Owords English (United States) Text Predictions: On,box_ocr_content_ocr,20
text,"[0.7519541382789612, 0.9341983199119568, 0.9051589369773865, 0.9592214822769165]",False,DisplaySettings Focus ,box_ocr_content_ocr,21
